imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast,genre,running_time,other_wins,other_noms
tt0093870,robocop,1987,219592.0,7.5,6.7,8.9,,,4,4,102 min,11.0,10.0
tt0100502,robocop 2,1990,77470.0,5.8,4.2,3.1,,,4,4,117 min,0,3.0
tt2316204,alien: covenant,2017,235406.0,6.4,6.5,6.6,,74.26,4,3,122 min,1.0,13.0
tt0099423,die hard 2,1990,319633.0,7.2,6.7,6.8,,,4,2,124 min,1.0,1.0
tt1855325,resident evil: retribution,2012,127687.0,5.4,3.9,2.9,,42.35,4,4,95 min,2.0,6.0
tt0092493,crocodile dundee ii,1988,50926.0,5.6,4.1,1.1,,,4,3,108 min,2.0,0
tt0094137,3 men and a baby,1987,44304.0,6.0,6.1,7.5,,,4,3,102 min,2.0,1.0
tt4846340,hidden figures,2016,179035.0,7.8,7.4,9.3,,169.39,4,3,127 min,37.0,84.0
tt0097165,dead poets society,1989,385327.0,8.1,7.9,8.4,,,4,2,128 min,19.0,18.0
tt1132620,the girl with the dragon tattoo,2009,201146.0,7.8,7.6,8.5,,10.1,4,4,152 min,17.0,35.0
tt0097757,the little mermaid,1989,221401.0,7.6,8.8,9.3,,,4,5,83 min,10.0,8.0
tt0097733,lethal weapon 2,1989,152806.0,7.2,7.0,8.3,,,4,3,114 min,1.0,1.0
tt0814255,percy jackson & the olympians: the lightning thief,2010,168623.0,5.9,4.7,4.9,,61.2,4,3,118 min,0,11.0
tt1428538,hansel & gretel: witch hunters,2013,187172.0,6.1,2.3,1.5,,55.0,4,3,88 min,3.0,4.0
tt0110148,interview with the vampire: the vampire chronicles,1994,280302.0,7.6,5.9,6.2,,,4,2,123 min,21.0,29.0
tt0097523,"honey, i shrunk the kids",1989,133433.0,6.3,6.3,7.5,,,4,4,93 min,1.0,10.0
tt0100404,presumed innocent,1990,35295.0,6.9,7.2,8.7,,,4,2,127 min,1.0,2.0
tt0096320,twins,1988,107216.0,6.1,5.3,4.4,,,4,2,107 min,4.0,0
tt0097428,ghostbusters ii,1989,173518.0,6.6,5.6,5.3,,,4,4,108 min,2.0,1.0
