,title,year,imdbID,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound
209,two-way stretch,1960,tt0054417,O,O,O,O,O,O,O,O,O,O,O,O,O,O
210,urge to kill,1960,tt0226581,O,O,O,O,O,O,O,O,O,O,O,O,O,O
211,village of the damned,1960,tt0054443,O,O,O,O,O,O,O,O,O,O,O,O,O,O
212,watch your stern,1960,tt0054463,O,O,O,O,O,O,O,O,O,O,O,O,O,O
213,the young jacobites,1960,tt0316923,O,O,O,O,O,O,O,O,O,O,O,O,O,O
214,the absent-minded professor,1961,tt0054594,O,O,N,O,O,O,N,O,O,O,O,O,O,O
215,ada,1961,tt0054601,O,O,O,O,O,O,O,O,O,O,O,O,O,O
216,all in a night's work,1961,tt0054615,O,O,O,O,O,O,O,O,O,O,O,O,O,O
217,all hands on deck,1961,tt0054613,O,O,O,O,O,O,O,O,O,O,O,O,O,O
218,angel baby,1961,tt0054628,O,O,O,O,O,O,O,O,O,O,O,O,O,O
219,atlas,1961,tt0053610,O,O,O,O,O,O,O,O,O,O,O,O,O,O
220,aquamania,1961,tt0054634,O,O,O,O,O,O,O,O,O,O,O,O,O,O
221,armored command,1961,tt0054636,O,O,O,O,O,O,O,O,O,O,O,O,O,O
222,"atlantis, the lost continent",1961,tt0054642,O,O,O,O,O,O,O,O,O,O,O,O,O,O
223,bachelor flat,1961,tt0054651,O,O,O,O,O,O,O,O,O,O,O,O,O,O
224,bachelor in paradise,1961,tt0054652,O,O,O,O,O,O,O,O,O,O,O,O,N,O
225,back street,1961,tt0054653,O,O,O,N,O,O,O,O,O,O,O,O,O,O
226,battle at bloody beach,1961,tt0054671,O,O,O,O,O,O,O,O,O,O,O,O,O,O
227,the beast of yucca flats,1961,tt0054673,O,O,O,O,O,O,O,O,O,O,O,O,O,O
228,beep prepared,1961,tt0054674,O,O,O,O,O,O,O,O,O,O,O,O,O,O
229,the big gamble,1961,tt0054679,O,O,O,O,O,O,O,O,O,O,O,O,O,O
230,the big show,1961,tt0054681,O,O,O,O,O,O,O,O,O,O,O,O,O,O
231,blast of silence,1961,tt0054687,O,O,O,O,O,O,O,O,O,O,O,O,O,O
232,bloodlust!,1961,tt0054691,O,O,O,O,O,O,O,O,O,O,O,O,O,O
233,blue hawaii,1961,tt0054692,O,O,O,O,O,O,O,O,O,O,O,O,O,O
234,blueprint for robbery,1961,tt0054693,O,O,O,O,O,O,O,O,O,O,O,O,O,O
235,boy who caught a crook,1961,tt0054695,O,O,O,O,O,O,O,O,O,O,O,O,O,O
236,boys beware,1961,tt0259898,O,O,O,O,O,O,O,O,O,O,O,O,O,O
237,breakfast at tiffany's,1961,tt0054698,O,N,O,O,O,O,O,W,O,O,O,N,W,O
238,bridge to the sun,1961,tt0054701,O,O,O,O,O,O,O,O,O,O,O,O,O,O
239,by love possessed,1961,tt0054710,O,O,O,O,O,O,O,O,O,O,O,O,O,O
240,the cat burglar,1961,tt0054733,O,O,O,O,O,O,O,O,O,O,O,O,O,O
241,the children's hour,1961,tt0054743,O,O,N,N,O,O,O,O,O,O,N,O,O,N
