imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms
tt0055047,king of kings,1961,6379.0,7.0,,8.5,,,4,3,168 min,0,1.0
tt0055069,the ladies man,1961,3306.0,6.4,,10.0,,,4,1,95 min,0,0
tt0055073,the last sunset,1961,2476.0,6.8,,,,,4,3,112 min,0,1.0
tt0055074,the last time i saw archie,1961,320.0,6.1,,,,,4,3,98 min,0,0
tt0140320,the lawbreakers,1961,31.0,7.2,,,,,4,2,79 min,0,0
tt0055091,the little shepherd of kingdom come,1961,68.0,6.2,,,,,4,3,108 min,0,0
tt0055095,the long rope,1961,70.0,5.5,,,,,4,1,61 min,0,0
tt0055097,look in any window,1961,104.0,5.8,,,,,4,1,87 min,0,0
tt0055099,love in a goldfish bowl,1961,76.0,5.6,,,,,4,3,88 min,0,0
tt0055100,lover come back,1961,6402.0,7.2,,9.0,,,4,3,107 min,2.0,4.0
tt0055118,mad dog coll,1961,188.0,5.3,,,,,4,3,88 min,0,0
tt0056209,madison avenue,1961,171.0,5.9,,,,,4,1,94 min,0,0
tt0055124,a majority of one,1961,795.0,6.8,,6.0,,,4,3,156 min,3.0,3.0
tt0055134,man-trap,1961,153.0,5.9,,,,,4,3,93 min,0,0
tt0055144,"marines, let's go",1961,105.0,5.2,,,,,4,3,103 min,0,0
tt0055146,the mark,1961,610.0,7.6,,,,,4,1,127 min,1.0,1.0
tt0054064,the marriage-go-round,1961,273.0,6.0,,,,,4,1,98 min,0,1.0
tt0055152,master of the world,1961,2617.0,5.9,,,,,4,2,102 min,0,0
tt0055184,the misfits,1961,16092.0,7.3,7.7,9.7,,,4,3,125 min,1.0,1.0
tt0055186,misty,1961,249.0,6.7,,,,,4,2,91 min,0,0
tt0055197,most dangerous man alive,1961,170.0,5.6,,,,,4,1,82 min,0,0
tt0055207,mysterious island,1961,5970.0,6.7,,8.5,,,4,4,101 min,0,0
tt0055214,the naked edge,1961,880.0,6.7,,,,,4,3,97 min,0,0
tt0055230,night tide,1961,2049.0,6.4,,10.0,,,4,2,86 min,0,0
tt0056293,nude on the moon,1961,683.0,3.9,,,,,4,2,83 min,0,0
tt0228667,ole rex,1961,6.0,6.3,,,,,4,1,80 min,0,0
tt0055253,on the double,1961,567.0,6.5,,,,,4,3,92 min,0,0
tt0055257,one-eyed jacks,1961,8832.0,7.1,,5.3,,,4,2,141 min,2.0,3.0
tt0055254,one hundred and one dalmatians,1961,142614.0,7.2,8.3,9.8,,,4,4,79 min,0,2.0
tt0055256,"one, two, three",1961,18166.0,7.9,7.3,9.5,,,4,1,104 min,1.0,7.0
tt0055260,operation bottleneck,1961,28.0,4.1,,,,,4,2,77 min,0,0
tt0055261,operation eichmann,1961,116.0,6.3,,,,,4,1,92 min,0,0
tt0055270,the outsider,1961,642.0,7.2,,,,,4,3,108 min,0,1.0
tt0055277,the parent trap,1961,17513.0,7.1,7.3,9.0,,,4,3,129 min,2.0,6.0
tt0055278,paris blues,1961,2393.0,6.7,6.1,6.7,,,4,3,98 min,0,1.0
